Designator,Mid X,Mid Y,Rotation,Layer
BZ1,149.998998,-109.944,180.0,top
D1,65.969344,-54.185346,240.0,bottom
D10,207.008665,-68.121957,278.0,bottom
D11,226.390634,-70.035903,275.0,bottom
D12,246.317646,-72.440984,271.0,bottom
D13,59.874097,-90.000308,269.0,bottom
D14,78.651182,-87.416172,265.0,bottom
D15,97.074982,-85.422503,262.0,bottom
D16,113.942888,-93.280734,260.0,bottom
D17,130.034388,-100.358277,260.0,bottom
D18,176.405188,-99.62398,280.0,bottom
D19,192.423108,-92.474882,280.0,bottom
D2,239.611881,-50.796722,300.0,bottom
D20,209.336806,-84.687544,278.0,bottom
D21,227.869597,-86.940585,275.0,bottom
D22,246.619255,-89.720358,271.0,bottom
D23,59.576391,-107.05571,269.0,bottom
D24,77.16143,-104.444119,265.0,bottom
D25,94.695113,-102.356137,262.0,bottom
D26,110.969576,-110.143231,260.0,bottom
D27,127.07957,-117.115891,260.0,bottom
D28,179.334975,-116.239655,280.0,bottom
D29,195.374256,-109.211692,280.0,bottom
D3,60.173981,-72.819925,269.0,bottom
D30,211.723629,-101.670671,278.0,bottom
D31,229.355621,-103.925884,275.0,bottom
D32,246.912335,-106.510796,271.0,bottom
D33,59.144201,-131.815938,269.0,bottom
D34,76.653008,-132.973372,265.0,bottom
D35,106.133332,-137.570933,260.0,bottom
D36,122.970032,-140.422222,260.0,bottom
D37,183.453045,-139.594375,280.0,bottom
D38,200.228418,-136.741003,280.0,bottom
D39,229.849472,-132.307005,275.0,bottom
D4,80.125591,-70.563539,265.0,bottom
D40,247.351648,-131.503936,270.0,bottom
D41,66.037854,-47.504725,150.0,bottom
D42,57.043152,-66.9834,179.0,bottom
D43,56.748154,-83.9784,179.0,bottom
D44,56.452159,-100.982404,179.0,bottom
D45,56.014841,-125.961244,179.0,bottom
D46,73.897447,-126.891043,175.0,bottom
D47,74.394449,-98.504039,175.0,bottom
D48,75.879844,-81.566242,175.0,bottom
D49,77.358446,-64.634041,175.0,bottom
D5,99.428604,-68.67562,262.0,bottom
D50,97.071844,-62.589245,172.0,bottom
D51,94.704962,-79.428307,172.0,bottom
D52,92.335846,-96.247235,172.0,bottom
D53,104.046842,-131.399243,170.0,bottom
D54,108.880843,-104.019244,170.0,bottom
D55,111.827845,-87.280238,170.0,bottom
D56,114.780414,-70.541886,170.0,bottom
D57,130.82941,-77.43889,170.0,bottom
D58,127.877847,-94.178244,170.0,bottom
D59,124.917416,-110.913889,170.0,bottom
D6,116.865134,-76.707841,260.0,bottom
D60,120.785413,-134.360892,170.0,bottom
D61,179.207037,-134.349563,190.0,bottom
D62,175.084036,-110.927563,190.0,bottom
D63,172.124566,-94.158356,190.0,bottom
D64,169.178562,-77.443348,190.0,bottom
D65,185.226758,-70.555003,190.0,bottom
D66,188.175754,-87.299997,190.0,bottom
D67,191.133568,-104.03535,190.0,bottom
D68,195.96476,-131.427997,190.0,bottom
D69,207.649735,-96.268003,188.0,bottom
D7,132.963632,-83.745709,260.0,bottom
D70,205.29273,-79.429002,188.0,bottom
D71,202.939735,-62.598002,188.0,bottom
D72,222.639547,-64.635711,185.0,bottom
D73,224.11676,-81.568644,185.0,bottom
D74,225.601074,-98.498095,185.0,bottom
D75,226.104691,-126.900137,185.0,bottom
D76,243.984492,-125.963609,181.0,bottom
D77,243.557308,-100.975839,181.0,bottom
D78,243.253489,-83.985607,181.0,bottom
D79,242.957487,-66.986612,181.0,bottom
D8,173.429201,-82.746341,280.0,bottom
D80,233.966009,-47.507515,210.0,bottom
D81,144.998995,-116.152,90.0,bottom
D82,147.498997,-116.152,90.0,bottom
D83,149.998995,-116.152,90.0,bottom
D84,152.498998,-116.152004,90.0,bottom
D85,154.998997,-116.151998,90.0,bottom
D9,189.451462,-75.621868,280.0,bottom
SW1,63.688609,-51.575894,330.0,top
SW10,203.583901,-67.251581,8.0,top
SW11,223.049589,-69.316452,5.0,top
SW12,243.040275,-71.687239,1.0,top
SW13,56.663875,-88.681585,359.0,top
SW14,75.468528,-86.251141,355.0,top
SW15,94.04974,-84.083797,352.0,top
SW16,111.009822,-91.917206,350.0,top
SW17,127.05682,-98.810208,350.0,top
SW18,172.943085,-98.815294,10.0,top
SW19,188.99253,-91.922361,10.0,top
SW2,236.313359,-51.580903,30.0,top
SW20,205.949847,-84.08614,8.0,top
SW21,224.531237,-86.251764,5.0,top
SW22,243.336969,-88.684655,1.0,top
SW23,56.367188,-105.678991,359.0,top
SW24,73.98688,-103.186449,355.0,top
SW25,91.683792,-100.918351,352.0,top
SW26,108.057803,-108.658935,350.0,top
SW27,124.104805,-115.55194,350.0,top
SW28,175.895105,-115.557031,10.0,top
SW29,191.944547,-108.664094,10.0,top
SW3,56.960568,-71.684176,359.0,top
SW30,208.315789,-100.920699,8.0,top
SW31,226.012888,-103.187074,5.0,top
SW32,243.633657,-105.682055,1.0,top
SW33,55.930182,-130.661991,359.0,top
SW34,73.490883,-131.579447,355.0,top
SW35,103.230801,-136.038937,350.0,top
SW36,119.972802,-138.990937,350.0,top
SW37,180.029102,-138.99403,10.0,top
SW38,196.770547,-136.042093,10.0,top
SW39,226.510884,-131.587074,5.0,top
SW4,76.950173,-69.315829,355.0,top
SW40,244.069655,-130.663063,1.0,top
SW5,96.415684,-67.24924,352.0,top
SW6,113.961844,-75.175472,350.0,top
SW7,130.008844,-82.068471,350.0,top
SW8,169.991064,-82.073566,10.0,top
SW9,186.04051,-75.180629,10.0,top
U1,149.998998,-76.632,0.0,top
